X,Y,OBJECTID,Census_Tra,Name,Address,City,Zipcode,State,Contact,PhoneNumbe,Latitude,Longitude,Comment_,Primary_Alt,Alternative_Name,DailyAvg
762849.723245948553085,2948049.029028192162514,13,2139,Children's Hospital Boston,"300 Longwood Ave, Boston, MA 02115", ,02115, ,CHILDRENS HOSPITAL CORP THE,617-355-6000,42.33692,-71.10541999, ,Primary,,160
762400.00006403028965,2948280.000022932887077,14,0,Dana-Farber Cancer Institute,"44 Binney St, Boston, MA, 02115", ,02215, ,CHILDREN CANCER RESEARCH,617-632-3000,42.33755949,-71.10707939, ,Primary,,
756545.074437946081161,2935506.383181765675545,15,0,Faulkner Hospital,"1153 Centre St, Boston, MA, 02130", ,02130, ,FAULKNER HOSPITAL INC,617-983-7000,42.30258,-71.12894, ,Primary,,65
772340.999867022037506,2957450.000055596232414,16,0,Massachusetts Eye and Ear Infirmary,"55 Fruit St, Boston, 02114", ,02114, ,MASS GEN EYE * EAR INF,617-726-2000,42.36259065,-71.07014072, ,Primary,UpdateStat! Massachusetts General Hospital,
751323.999906361103058,2952609.999893099069595,17,0,St. Elizabeth's Hospital,"736 Cambridge St. Boston, 02135", ,02135, ,ST ELIZABETHS HOSP OF BOS,617-789-3000,42.34957389,-71.14797912, ,Primary,,90
774277.999930024147034,2952899.999969273805618,18,0,Tufts Medical Center,"750 Washington St. Boston, 02111", ,02111, ,TUFTS N E MED CTR INC,(617) 636-5000,42.35007835,-71.06305995, ,Primary,,
761583.061409190297127,2944347.194240272045135,19,0,VA Bos. Healthcare System - Jamaica Plain,"150 South Huntington Ave. Boston, 02130", ,02115, ,UNITED STATES OF AMER,(617) 232-9500,42.32677799,-71.1101674, ,Primary,,
745099.187552854418755,2925509.590839430689812,20,0,VA Bos. Healthcare System - W. Roxbury,"1400 VFW Parkway, Boston, 02132", ,02132, ,UNITED STATES OF AMERICA,(617) 323-7700,42.2752769,-71.17139292, ,Primary,,
761901.921991944313049,2948292.088909521698952,21,2092,Beth Israel Deaconess Medical Center - West Campus,110 Francis Street, ,02215, ,BETH ISRAEL DEACONESS, ,42.33759354,-71.10892133, ,Primary,,
772209.730772614479065,2948402.108702600002289,22,2084,Boston Medical Center - East Newton Campus,88 East Newton Stret, ,02118, ,UNIVERSITY HOSP INC, ,42.33775943,-71.07079483, ,Primary,,
762396.366541102528572,2945494.852706104516983,23,0,New England Baptist Hospital,125 Parker Hill Avenue, ,02120, ,N E BAPTIST HOSPITAL, ,42.32991697,-71.10714028, ,Primary,,
764689.497781604528427,2952171.309497520327568,24,0,BOSTON VETERAN CENTER,665 BEACON STREET, ,02215, ,BOSTON UNIVERSITY TRSTS OF,617-424-0665,42.34820272,-71.09854366, ,Primary,,
775357.497114852070808,2958883.69600710272789,25,0,Veterans Affairs Boston Health Care System,251 CAUSEWAY STREET, ,02114, ,CAUSEWAY HOLDINGS INC,617-248-1000,42.36648248,-71.05895207, ,Primary,,
774139.621269777417183,2957209.297124937176704,26,0,Erich LIindemann Mental Health Center,25 STANIFORD STREET, ,02114, ,COMMONWEALTH OF MASS,617-626-8500,42.3619051,-71.06349027, ,Primary,,
770615.64176918566227,2953055.118097350001335,27,0,Urgent Care Medical Unit,581 BOYLSTON STREET, ,02116, ,ABBEY BOYLSTON LLC,617-247-1400,42.35055468,-71.07660537, ,Primary,,
771832.606198772788048,2946966.069908022880554,28,0,Boston Public Health Commission Medical Facilities,  ALBANY ST, ,02118, ,BOSTON PUBLIC HEALTH COMM, ,42.33382409,-71.07221631, ,Primary,,
777094.910306692123413,2962806.106141269207001,29,0,MGH at the Navy Yard,  THIRTEENTH ST, ,02129, ,CONSTITUTION OFFICE PARK LE, ,42.37722077,-71.052447, ,Primary,,
772842.523798361420631,2957370.446408942341805,30,0,Mass General Hospital,255 265 CHARLES ST, ,02114, ,GENERAL HOSPITAL CORP, ,42.36315524,-71.06852783, ,Primary,Massachusetts General Hospital- 617-726-2000,110
